SYMBOL;FINAL
M&M;2124.55
HDFCBANK;1557.40
TATAMOTORS;978.75
BPCL;594.85
ULTRACEMCO;9505.00
LT;3568.75
ASIANPAINT;2846.60
COALINDIA;440.90
NTPC;355.00
BHARTIARTL;1304.00
EICHERMOT;4394.00
KOTAKBANK;1813.00
ICICIBANK;1078.80
TATASTEEL;163.80
SHRIRAMFIN;2390.00
AXISBANK;1039.00
HINDALCO;620.65
BAJAJ-AUTO;8884.00
ADANIENT;3053.00
ADANIPORTS;1321.10
POWERGRID;284.00
LTIM;4699.00
HINDUNILVR;2250.00
INDUSINDBK;1494.00
ONGC;277.30
BAJFINANCE;7167.30
HEROMOTOCO;4239.85
SBILIFE;1456.50
INFY;1419.90
MARUTI;12783.15
DRREDDY;5975.00
ITC;427.00
BAJAJFINSV;1627.00
SBIN;754.15
DIVISLAB;3689.75
SUNPHARMA;1528.45
CIPLA;1350.25
HCLTECH;1452.20
TCS;3837.00
JSWSTEEL;867.10
TATACONSUM;1140.95
TECHM;1196.10
RELIANCE;2944.90
BRITANNIA;4673.90
TITAN;3567.00
GRASIM;2275.00
HDFCLIFE;601.85
WIPRO;452.75
NESTLEIND;2436.50
APOLLOHOSP;6154.50
